produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CRA;ASA;R$ 1.002,56;70,11%;R$ 1.705,40;Sem Rating;1477 dias;No ;CDI + 2,6%;CDB CDI + 3.06%
CDB;BANCO MASTER;R$ 1.104,79;43,32%;R$ 1.583,37;BBB- FITCH;1146 dias;No ;CDI + 2,6%;LCI/LCA 2.21% CDI
CDB;BANCO MASTER;R$ 1.000,00;25,20%;R$ 1.252,02;BBB- FITCH;721 dias;;119,0% CDI;LCI/LCA 101.15% CDI
CDB;WILLBANK;R$ 1.000,00;40,23%;R$ 1.402,30;Sem Rating;1080 dias;;124,0% CDI;LCI/LCA 105.4% CDI
RDB;WILLBANK;R$ 1.000,00;40,23%;R$ 1.402,30;Sem Rating;1080 dias;;124,0% CDI;LCI/LCA 105.4% CDI
CDB;WILLBANK;R$ 1.000,00;57,55%;R$ 1.575,46;Sem Rating;1440 dias;;124,0% CDI;LCI/LCA 105.4% CDI
RDB;WILLBANK;R$ 1.000,00;57,55%;R$ 1.575,46;Sem Rating;1440 dias;;124,0% CDI;LCI/LCA 105.4% CDI
Debênture;TRIPLE PLAY BRASIL PARTICIPACOES S.A.;R$ 1.024,29;103,95%;R$ 2.089,02;Sem Rating;1994 dias;;IPCA +9,06%;CDB IPCA + 10.66%
Debênture;TRIPLE PLAY BRASIL PARTICIPACOES S.A.;R$ 1.024,29;103,95%;R$ 2.089,02;Sem Rating;1994 dias;;IPCA +9,06%;CDB IPCA + 10.66%
Debênture;TRIPLE PLAY BRASIL PARTICIPACOES S.A.;R$ 1.024,29;103,95%;R$ 2.089,02;Sem Rating;1994 dias;;IPCA +9,06%;CDB IPCA + 10.66%
CDB;NEON FINANCEIRA;R$ 1.000,00;58,23%;R$ 1.582,30;Sem Rating;1463 dias;;118,5% CDI;LCI/LCA 100.72% CDI
CDB;NEON FINANCEIRA;R$ 1.000,00;40,36%;R$ 1.403,60;Sem Rating;1092 dias;;118,0% CDI;LCI/LCA 100.3% CDI
CDB;BANCO MASTER;R$ 1.000,00;76,01%;R$ 1.760,07;BBB- FITCH;1800 dias;;118,0% CDI;LCI/LCA 100.3% CDI
CDB;BANCO MASTER;R$ 1.000,00;97,89%;R$ 1.978,92;BBB- FITCH;2162 dias;;118,0% CDI;LCI/LCA 100.3% CDI
CDB;WILLBANK;R$ 1.000,00;24,96%;R$ 1.249,59;Sem Rating;721 dias;;123,0% CDI;LCI/LCA 104.55% CDI
RDB;WILLBANK;R$ 1.000,00;24,96%;R$ 1.249,59;Sem Rating;721 dias;;123,0% CDI;LCI/LCA 104.55% CDI
CDB;BANCO MASTER;R$ 1.000,00;25,02%;R$ 1.250,16;BBB- FITCH;722 dias;;123,0% CDI;LCI/LCA 104.55% CDI
CDB;WILLBANK;R$ 1.000,00;25,36%;R$ 1.253,57;Sem Rating;730 dias;No ;123,0% CDI;LCI/LCA 104.55% CDI
