produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;BANCO ALFA S.A;R$ 5.000,00;9,50%;R$ 5.474,93;Sem Rating;361 dias;;103,5% CDI;LCI/LCA 85.39% CDI
CDB;BANCO BBC;R$ 10.000,00;20,88%;R$ 12.088,34;AA- FITCH;732 dias;;103,5% CDI;LCI/LCA 87.97% CDI
CDB;BANCO BBC;R$ 10.000,00;20,88%;R$ 12.088,34;AA- FITCH;732 dias;;103,5% CDI;LCI/LCA 87.97% CDI
CDB;BANCO BBC;R$ 10.000,00;20,88%;R$ 12.088,34;AA- FITCH;732 dias;;103,5% CDI;LCI/LCA 87.97% CDI
CDB;BANCO FIBRA;R$ 10.000,00;26,83%;R$ 12.683,43;B+ FITCH;912 dias;;IPCA +6,75%;LCI/LCA IPCA + 5.74%
CDB;BANCO FIBRA;R$ 10.000,00;26,88%;R$ 12.688,29;B+ FITCH;914 dias;;IPCA +6,75%;LCI/LCA IPCA + 5.74%
CDB;BANCO GM;R$ 1.000,00;33,02%;R$ 1.330,23;AAA FITCH;1095 dias;No ;103,5% CDI;LCI/LCA 87.97% CDI
CDB;BANCO BV;R$ 10.000,00;32,97%;R$ 13.297,18;AA MOODYS;1096 dias;;103,5% CDI;LCI/LCA 87.97% CDI
CRA;FS AGRISOLUTIONS INDÚSTRIA DE BIOCOMBUSTÍVEIS LTDA.;R$ 19.908,00;80,24%;R$ 35.882,48;Sem Rating;1975 dias;;IPCA +6,57%;LCI/LCA IPCA + 7.73%
CRA;SÃO SALVADOR ALIMENTOS;R$ 20.258,00;37,47%;R$ 27.848,36;Sem Rating;1064 dias;;IPCA +6,57%;LCI/LCA IPCA + 7.73%
CDB;BANCO PINE;R$ 1.000,00;4,28%;R$ 1.042,82;BB+ FITCH;179 dias;;11,55%PRÉ;LCI/LCA 8.95% PRÉ
CDB;BANCO PINE;R$ 1.000,00;6,83%;R$ 1.068,34;BB+ FITCH;270 dias;;11,55%PRÉ;LCI/LCA 9.24% PRÉ
CDB;BANCO PINE;R$ 1.000,00;6,83%;R$ 1.068,34;Sem Rating;271 dias;;11,55%PRÉ;LCI/LCA 9.24% PRÉ
CDB;BANCO BMG;R$ 1.000,00;27,34%;R$ 1.273,43;B+ FITCH;930 dias;;IPCA +6,74%;LCI/LCA IPCA + 5.73%
CDB;BANCO PINE;R$ 1.000,00;32,99%;R$ 1.329,85;BB+ FITCH;1095 dias;No ;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;BANCO BMG;R$ 1,00;32,99%;R$ 1,33;B+ FITCH;1095 dias;No ;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;AGIBANK;R$ 1.000,00;32,99%;R$ 1.329,86;BBB+ FITCH;1096 dias;;IPCA +6,74%;LCI/LCA IPCA + 5.73%
CDB;BANCO PINE;R$ 1.000,00;32,99%;R$ 1.329,85;BB+ FITCH;1096 dias;;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;BANCO PINE;R$ 1.000,00;32,99%;R$ 1.329,85;BB+ FITCH;1097 dias;;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;AGIBANK;R$ 1.000,00;46,67%;R$ 1.466,71;BBB+ FITCH;1463 dias;;IPCA +6,74%;LCI/LCA IPCA + 5.73%
CDB;BANCO PINE;R$ 1.000,00;78,35%;R$ 1.783,48;BB+ FITCH;2189 dias;;IPCA +6,74%;LCI/LCA IPCA + 5.73%
CDB;BANCO FIBRA;R$ 1.000,00;78,42%;R$ 1.784,16;B+ FITCH;2190 dias;No ;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CRA;FS BIO;R$ 1.033,36;69,02%;R$ 1.746,55;Sem Rating;1754 dias;No ;11,55%PRÉ;CDB 13.59%
CRA;FS BIO;R$ 1.034,25;68,87%;R$ 1.746,55;Sem Rating;1752 dias;No ;11,55%PRÉ;CDB 13.59%
CRA;UNIDAS (OURO VERDE);R$ 1.052,86;69,02%;R$ 1.779,51;Sem Rating;1754 dias;No ;11,55%PRÉ;CDB 13.59%
CRI;ONCOCLINICAS;R$ 1.078,91;106,25%;R$ 2.225,25;Sem Rating;2423 dias;No ;11,55%PRÉ;CDB 13.59%
CRI;ONCOCLINICAS;R$ 1.079,85;106,07%;R$ 2.225,25;Sem Rating;2421 dias;No ;11,55%PRÉ;CDB 13.59%
Debênture;RIO ALTO STL HOLDING I S.A;R$ 1.254,77;512,67%;R$ 7.687,59;Sem Rating;6073 dias;;IPCA +6,74%;CDB IPCA + 7.93%
Debênture;RIO ALTO STL HOLDING I S.A;R$ 1.254,77;512,67%;R$ 7.687,59;Sem Rating;6073 dias;;IPCA +6,74%;CDB IPCA + 7.93%
Debênture;RIO ALTO STL HOLDING I S.A;R$ 1.254,77;512,67%;R$ 7.687,59;Sem Rating;6073 dias;;IPCA +6,74%;CDB IPCA + 7.93%
CDB;C6 BANK;R$ 5.000,00;20,54%;R$ 6.026,99;A- S&P;721 dias;;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;BANCO CAIXA GERAL;R$ 10.000,00;26,28%;R$ 12.627,58;BB+ FITCH;897 dias;;IPCA +6,74%;LCI/LCA IPCA + 5.73%
CDB;BANCO CAIXA GERAL;R$ 10.000,00;35,68%;R$ 13.567,78;BB+ FITCH;1173 dias;;IPCA +6,74%;LCI/LCA IPCA + 5.73%
CDB;BANCO FIBRA;R$ 10.000,00;39,02%;R$ 13.901,96;BBB+ FITCH;1261 dias;;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;BANCO FIBRA;R$ 10.000,00;53,95%;R$ 15.394,52;B+ FITCH;1643 dias;;11,55%PRÉ;LCI/LCA 0.0% PRÉ
CDB;BANCO FIBRA;R$ 10.000,00;78,27%;R$ 17.827,43;B+ FITCH;2190 dias;;11,55%PRÉ;LCI/LCA 9.82% PRÉ
CDB;WILLBANK;R$ 1.000,00;14,39%;R$ 1.143,91;Sem Rating;540 dias;;11,54%PRÉ;LCI/LCA 9.52% PRÉ
CDB;AGIBANK;R$ 1.000,00;20,84%;R$ 1.208,41;BBB+ FITCH;732 dias;;IPCA +6,73%;LCI/LCA IPCA + 5.72%
CDB;BANCO ANDBANK;R$ 1.000,00;32,90%;R$ 1.328,97;AAA FITCH;1096 dias;;103,3% CDI;LCI/LCA 87.8% CDI
CDB;BANCO ANDBANK;R$ 1.000,00;32,90%;R$ 1.328,97;AAA FITCH;1096 dias;;103,3% CDI;LCI/LCA 87.8% CDI
CDB;BANCO ANDBANK;R$ 1.000,00;32,90%;R$ 1.328,97;AAA FITCH;1096 dias;;103,3% CDI;LCI/LCA 87.8% CDI
CDB;BANCO PAN;R$ 1.000,00;32,95%;R$ 1.329,50;AAA S&P;1097 dias;;CDI + 0,35%;LCI/LCA 0.3% CDI
CDB;BANCO PAN;R$ 1.000,00;46,62%;R$ 1.466,18;AAA S&P;1460 dias;No ;CDI + 0,35%;LCI/LCA 0.3% CDI
CDB;BANCO BMG;R$ 1.000,00;141,85%;R$ 2.418,45;B+ FITCH;3289 dias;;11,54%PRÉ;LCI/LCA 9.81% PRÉ
CRA;CAMIL;R$ 1.039,53;67,19%;R$ 1.737,98;AA- S&P;1722 dias;;CDI + 0,35%;CDB CDI + 0.41%
CRA;CAMIL;R$ 1.039,53;67,19%;R$ 1.737,98;AA- S&P;1722 dias;;CDI + 0,35%;CDB CDI + 0.41%
CRA;CAMIL;R$ 1.039,53;67,19%;R$ 1.737,98;AA- S&P;1722 dias;;CDI + 0,35%;CDB CDI + 0.41%
CRI;LOG COMMERCIAL PROPERTIES E PARTICIPACOES S/A;R$ 1.070,95;39,31%;R$ 1.491,91;Sem Rating;1110 dias;;CDI + 0,35%;CDB CDI + 0.41%
CRI;LOG COMMERCIAL PROPERTIES E PARTICIPACOES S/A;R$ 1.070,95;39,31%;R$ 1.491,91;Sem Rating;1110 dias;;CDI + 0,35%;CDB CDI + 0.41%
CRI;LOG COMMERCIAL PROPERTIES E PARTICIPACOES S/A;R$ 1.070,95;39,31%;R$ 1.491,91;Sem Rating;1110 dias;;CDI + 0,35%;CDB CDI + 0.41%
CDB;BANCO PAN;R$ 10.000,00;38,98%;R$ 13.897,74;AAA S&P;1261 dias;;CDI + 0,35%;LCI/LCA 0.3% CDI
CRI;TRUE SECURITIZADORA;R$ 10.199,81;45,98%;R$ 14.889,92;Sem Rating;1264 dias;;CDI + 0,35%;LCI/LCA CDI + 0.41%
LF;BANCO BV;R$ 56.556,98;10,76%;R$ 62.644,89;AA MOODYS;407 dias;No ;CDI + 0,35%;LCI/LCA 0.29% CDI
CDB;PAGBANK;R$ 1,00;1,42%;R$ 1,01;Sem Rating;60 dias;No ;103,25% CDI;LCI/LCA 80.02% CDI
CDB;WILLBANK;R$ 1.000,00;4,17%;R$ 1.041,69;Sem Rating;178 dias;;11,53%PRÉ;LCI/LCA 8.94% PRÉ
CDB;BANCO BMG;R$ 1.000,00;14,29%;R$ 1.142,93;B+ FITCH;533 dias;;IPCA +6,72%;LCI/LCA IPCA + 5.54%
CDB;PARANA BANCO;R$ 1.000,00;32,37%;R$ 1.323,69;AA+ S&P;1080 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BMG;R$ 1.000,00;32,36%;R$ 1.323,60;B+ FITCH;1082 dias;;IPCA +6,72%;LCI/LCA IPCA + 5.71%
CDB;BANCO BTG PACTUAL;R$ 1.000,00;32,88%;R$ 1.328,78;AAA S&P;1096 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;97,01%;R$ 1.970,11;AAA S&P;2555 dias;No ;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;97,17%;R$ 1.971,69;AAA S&P;2557 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;118,09%;R$ 2.180,90;AAA S&P;2920 dias;No ;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;118,27%;R$ 2.182,66;AAA S&P;2924 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;141,71%;R$ 2.417,07;AAA S&P;3285 dias;No ;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;141,81%;R$ 2.418,05;AAA S&P;3290 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;167,63%;R$ 2.676,33;AAA S&P;3650 dias;No ;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;167,74%;R$ 2.677,43;AAA S&P;3653 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO ALFA;R$ 5.000,00;2,04%;R$ 5.101,97;AA+ MOODYS;90 dias;;99,0% CDI;LCI/LCA 76.73% CDI
CDB;BANCO BTG PACTUAL;R$ 5.000,00;32,93%;R$ 6.646,48;AAA S&P;1097 dias;;103,25% CDI;LCI/LCA 87.76% CDI
CDB;BANCO PAN;R$ 10.000,00;4,49%;R$ 10.448,71;AAA S&P;181 dias;;103,25% CDI;LCI/LCA 82.6% CDI
CRA;VERT COMPANHIA SECURITIZADORA;R$ 10.879,73;149,12%;R$ 27.104,12;Sem Rating;3060 dias;;IPCA +6,72%;LCI/LCA IPCA + 7.91%
CDB;BANCO DAYCOVAL;R$ 20.000,00;4,17%;R$ 20.833,59;AA FITCH;178 dias;;99,0% CDI;LCI/LCA 76.73% CDI
LF;BANCO BTG PACTUAL;R$ 50.000,00;61,43%;R$ 80.714,18;AAA S&P;1826 dias;;11,53%PRÉ;LCI/LCA 9.8% PRÉ
LF;BANCO BTG PACTUAL;R$ 50.000,00;61,43%;R$ 80.714,18;AAA S&P;1826 dias;;11,53%PRÉ;LCI/LCA 9.8% PRÉ
LF;BANCO BTG PACTUAL;R$ 50.000,00;61,43%;R$ 80.714,18;AAA S&P;1826 dias;;11,53%PRÉ;LCI/LCA 9.8% PRÉ
CDB;BANCO BMG;R$ 1.000,00;20,71%;R$ 1.207,12;B+ FITCH;728 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CDB;AGIBANK;R$ 1.000,00;20,85%;R$ 1.208,47;BBB+ FITCH;731 dias;;IPCA +6,71%;LCI/LCA IPCA + 5.7%
CDB;BANCO BMG;R$ 1.000,00;26,25%;R$ 1.262,49;B+ FITCH;900 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CDB;BANCO BMG;R$ 1.000,00;26,25%;R$ 1.262,49;B+ FITCH;900 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CDB;BANCO BMG;R$ 1.000,00;26,25%;R$ 1.262,49;B+ FITCH;900 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CDB;BANCO BMG;R$ 1.000,00;26,73%;R$ 1.267,32;B+ FITCH;914 dias;;11,52%PRÉ;LCI/LCA 0.0% PRÉ
CDB;BANCO BTG PACTUAL;R$ 1.000,00;96,95%;R$ 1.969,49;AAA S&P;2556 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CDB;BANCO BTG PACTUAL;R$ 1.000,00;96,95%;R$ 1.969,49;AAA S&P;2556 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CDB;BANCO BTG PACTUAL;R$ 1.000,00;96,95%;R$ 1.969,49;AAA S&P;2556 dias;;11,52%PRÉ;LCI/LCA 9.79% PRÉ
CRA;CARAMURU;R$ 1.081,66;79,41%;R$ 1.940,59;Sem Rating;1964 dias;;IPCA +6,71%;CDB IPCA + 7.89%
CRA;CARAMURU;R$ 1.081,66;79,41%;R$ 1.940,59;Sem Rating;1964 dias;;IPCA +6,71%;CDB IPCA + 7.89%
CRA;CARAMURU;R$ 1.081,66;79,41%;R$ 1.940,59;Sem Rating;1964 dias;;IPCA +6,71%;CDB IPCA + 7.89%
CDB;BANCO BMG;R$ 1,00;32,85%;R$ 1,33;Sem Rating;1095 dias;No ;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO BMG;R$ 1.000,00;19,82%;R$ 1.198,16;B+ FITCH;720 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.53%
CDB;BANCO ANDBANK;R$ 1.000,00;45,65%;R$ 1.456,53;AAA FITCH;1440 dias;;103,1% CDI;LCI/LCA 87.63% CDI
CDB;BANCO ANDBANK;R$ 1.000,00;45,65%;R$ 1.456,53;AAA FITCH;1440 dias;;103,1% CDI;LCI/LCA 87.63% CDI
CDB;BANCO ANDBANK;R$ 1.000,00;45,65%;R$ 1.456,53;AAA FITCH;1440 dias;;103,1% CDI;LCI/LCA 87.63% CDI
CRA;UNIDAS (OURO VERDE);R$ 1.063,31;109,60%;R$ 2.228,71;Sem Rating;2485 dias;No ;IPCA +6,7%;CDB IPCA + 7.88%
CRA;UNIDAS (OURO VERDE);R$ 1.064,84;109,42%;R$ 2.229,99;Sem Rating;2483 dias;No ;IPCA +6,7%;CDB 7.88%
Debênture;3R PETROLEUM OLEO E GAS S;R$ 1.135,58;185,14%;R$ 3.238,01;Sem Rating;3517 dias;No ;IPCA +6,7%;CDB 7.88%
CRA;ADECOAGRO;R$ 1.206,60;50,00%;R$ 1.809,90;Sem Rating;1360 dias;No ;IPCA +6,7%;CDB IPCA + 7.88%
CRA;ADECOAGRO;R$ 1.208,33;49,87%;R$ 1.810,94;Sem Rating;1358 dias;No ;IPCA +6,7%;CDB 7.88%
CDB;BANCO FIBRA;R$ 10.000,00;20,83%;R$ 12.082,75;B+ FITCH;732 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;20,83%;R$ 12.082,75;B+ FITCH;733 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;26,61%;R$ 12.660,64;B+ FITCH;910 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;69,54%;R$ 16.954,34;B+ FITCH;2008 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;69,61%;R$ 16.961,02;B+ FITCH;2009 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;78,19%;R$ 17.819,41;B+ FITCH;2192 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;78,19%;R$ 17.819,41;B+ FITCH;2192 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;96,90%;R$ 19.689,68;B+ FITCH;2557 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
CDB;BANCO FIBRA;R$ 10.000,00;96,98%;R$ 19.697,54;B+ FITCH;2559 dias;;IPCA +6,7%;LCI/LCA IPCA + 5.7%
LF;BANCO DAYCOVAL;R$ 50.000,00;77,92%;R$ 88.962,47;AA FITCH;2186 dias;;11,51%PRÉ;LCI/LCA 9.78% PRÉ
LF;BANCO XP;R$ 60.424,66;0,67%;R$ 60.831,27;Sem Rating;28 dias;No ;IPCA +6,7%;LCI/LCA IPCA + 5.19%
LF;BANCO XP;R$ 60.503,96;0,61%;R$ 60.870,23;AA FITCH;26 dias;No ;IPCA +6,7%;LCI/LCA IPCA + 5.19%
LF;BANCO XP;R$ 60.854,22;0,98%;R$ 61.449,15;AA FITCH;42 dias;No ;IPCA +6,7%;LCI/LCA IPCA + 5.19%
LF;BANCO XP;R$ 67.144,06;1,28%;R$ 68.005,88;Sem Rating;53 dias;No ;IPCA +6,7%;LCI/LCA IPCA + 5.19%
LF;BANCO XP;R$ 67.237,57;1,22%;R$ 68.054,81;AA FITCH;51 dias;No ;IPCA +6,7%;LCI/LCA IPCA + 5.19%
CDB;BANCO SOFISA;R$ 1,00;1,42%;R$ 1,01;A+ FITCH;60 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;BANCO SOFISA;R$ 1,00;60,22%;R$ 1,60;A+ FITCH;1800 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;BANCO RCI;R$ 50,00;20,45%;R$ 60,23;AA+ MOODYS;721 dias;Diária;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO RCI;R$ 50,00;32,27%;R$ 66,13;AA+ MOODYS;1081 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;PAGBANK;R$ 1,00;2,10%;R$ 1,02;Sem Rating;90 dias;No ;103,0% CDI;LCI/LCA 79.83% CDI
CDB;PICPAY;R$ 100,00;2,10%;R$ 102,10;Sem Rating;90 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;NUBANK;R$ 1,00;4,48%;R$ 1,04;Sem Rating;181 dias;No ;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;1,39%;R$ 1.013,85;AAA S&P;60 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;1,39%;R$ 1.013,85;AAA S&P;60 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;BANCO BTG PACTUAL;R$ 1.000,00;1,39%;R$ 1.013,85;AAA S&P;60 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;C6 BANK;R$ 1.000,00;2,04%;R$ 1.020,35;A- S&P;88 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;MERCADO LIVRE;R$ 1.000,00;2,10%;R$ 1.021,04;AAA FITCH;90 dias;No ;103,0% CDI;LCI/LCA 79.83% CDI
CDB;C6 CONSIGNADO;R$ 1.000,00;2,14%;R$ 1.021,39;Sem Rating;92 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;MERCADO LIVRE;R$ 1.000,00;2,83%;R$ 1.028,30;AAA FITCH;120 dias;No ;103,0% CDI;LCI/LCA 79.83% CDI
CDB;BANCO INDUSTRIAL DO BRASIL;R$ 1.000,00;4,27%;R$ 1.042,65;A+ MOODYS;179 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;NUBANK;R$ 1.000,00;4,48%;R$ 1.044,76;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO INDUSTRIAL DO BRASIL S/A.;R$ 1.000,00;4,48%;R$ 1.044,76;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO RNX;R$ 1.000,00;4,48%;R$ 1.044,76;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;NUBANK;R$ 1.000,00;4,51%;R$ 1.045,12;Sem Rating;182 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO DAYCOVAL;R$ 1.000,00;4,51%;R$ 1.045,12;AA FITCH;182 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;C6 BANK;R$ 1.000,00;4,44%;R$ 1.044,38;A- S&P;184 dias;;11,50%PRÉ;LCI/LCA 9.2% PRÉ
CDB;BANCO VOITER;R$ 1.000,00;9,53%;R$ 1.095,27;Sem Rating;363 dias;;11,50%PRÉ;LCI/LCA 9.49% PRÉ
CDB;FACTA FINANCEIRA;R$ 1.000,00;9,61%;R$ 1.096,07;Sem Rating;365 dias;No ;11,50%PRÉ;LCI/LCA 9.49% PRÉ
CDB;WILLBANK;R$ 1.000,00;9,61%;R$ 1.096,07;Sem Rating;365 dias;No ;11,50%PRÉ;LCI/LCA 9.49% PRÉ
CDB;BANCO PAN;R$ 1.000,00;9,65%;R$ 1.096,49;AAA S&P;366 dias;;103,0% CDI;LCI/LCA 84.97% CDI
CDB;BANCO RANDON SA;R$ 1.000,00;9,81%;R$ 1.098,08;Sem Rating;376 dias;;103,0% CDI;LCI/LCA 84.97% CDI
CDB;BANCO VOLKSWAGEN;R$ 1.000,00;14,47%;R$ 1.144,69;Sem Rating;540 dias;No ;103,0% CDI;LCI/LCA 84.97% CDI
CDB;BANCO BBC;R$ 1.000,00;14,47%;R$ 1.144,69;AA- FITCH;540 dias;No ;103,0% CDI;LCI/LCA 84.97% CDI
CDB;PARANA BANCO;R$ 1.000,00;20,45%;R$ 1.204,52;AA+ S&P;721 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB - LD;BANCO GUANABARA S.A.;R$ 1.000,00;20,45%;R$ 1.204,52;Sem Rating;721 dias; Diária;103,0% CDI;LCI/LCA 87.55% CDI
CDB;C6 BANK;R$ 1.000,00;20,81%;R$ 1.208,11;A- S&P;731 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;BANCO BTG PACTUAL;R$ 1.000,00;26,59%;R$ 1.265,93;AAA S&P;910 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO PINE;R$ 1.000,00;26,63%;R$ 1.266,33;Sem Rating;911 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;BANCO MASTER;R$ 1.000,00;32,27%;R$ 1.322,68;BBB- FITCH;1080 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;ZEMA FINANCEIRA;R$ 1.000,00;32,83%;R$ 1.328,27;Sem Rating;1095 dias;No ;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;AGIBANK;R$ 1.000,00;32,77%;R$ 1.327,70;BBB+ FITCH;1096 dias;;IPCA +6,69%;LCI/LCA IPCA + 5.69%
CDB;BANCO PINE;R$ 1.000,00;32,83%;R$ 1.328,27;Sem Rating;1097 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;TRIBANCO;R$ 1.000,00;45,65%;R$ 1.456,55;A- FITCH;1441 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO PINE;R$ 1.000,00;46,43%;R$ 1.464,33;BB+ FITCH;1460 dias;No ;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;BANCO BV;R$ 1.000,00;46,45%;R$ 1.464,48;AA MOODYS;1460 dias;No ;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO FIBRA;R$ 1.000,00;46,43%;R$ 1.464,33;B+ FITCH;1463 dias;;11,50%PRÉ;LCI/LCA 9.78% PRÉ
CDB;BANCO TRIANGULO;R$ 1.000,00;46,45%;R$ 1.464,48;A FITCH;1463 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;TRIBANCO;R$ 1.000,00;60,31%;R$ 1.603,07;Sem Rating;1803 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO TRIANGULO;R$ 1.000,00;61,31%;R$ 1.613,15;A FITCH;1827 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;MERCADO LIVRE;R$ 2.000,00;2,14%;R$ 2.042,77;AAA FITCH;92 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;MERCADO LIVRE;R$ 2.000,00;2,86%;R$ 2.057,29;AAA FITCH;123 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;MERCADO LIVRE;R$ 5.000,00;2,04%;R$ 5.101,77;AAA FITCH;86 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;MERCADO LIVRE;R$ 5.000,00;4,27%;R$ 5.213,27;AAA FITCH;177 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;BANCO ALFA S.A;R$ 5.000,00;4,48%;R$ 5.223,80;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO GUANABARA S.A;R$ 5.000,00;4,48%;R$ 5.223,80;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO RNX;R$ 5.000,00;4,48%;R$ 5.223,80;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO FATOR;R$ 5.000,00;6,96%;R$ 5.347,86;BBB- FITCH;275 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO FATOR;R$ 5.000,00;9,61%;R$ 5.480,46;BBB- FITCH;365 dias;;103,0% CDI;LCI/LCA 84.97% CDI
CDB;BANCO FATOR;R$ 5.000,00;9,61%;R$ 5.480,46;BBB- FITCH;365 dias;;103,0% CDI;LCI/LCA 84.97% CDI
CDB;BANCO FATOR;R$ 5.000,00;9,61%;R$ 5.480,46;BBB- FITCH;365 dias;;103,0% CDI;LCI/LCA 84.97% CDI
CDB;BANCO BTG PACTUAL;R$ 5.000,00;26,69%;R$ 6.334,45;AAA S&P;912 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO TRIANGULO;R$ 5.000,00;45,60%;R$ 7.279,92;A FITCH;1440 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO PINE;R$ 5.000,00;46,38%;R$ 7.318,84;BB+ FITCH;1462 dias;;11,50%PRÉ;LCI/LCA 0.0% PRÉ
CDB;BANCO TRIANGULO;R$ 5.000,00;60,24%;R$ 8.012,20;A FITCH;1800 dias;;103,0% CDI;LCI/LCA 87.55% CDI
CDB;BANCO PAN;R$ 10.000,00;2,86%;R$ 10.286,44;AAA S&P;123 dias;;103,0% CDI;LCI/LCA 79.83% CDI
CDB;BANCO INDUSTRIAL DO BRASIL;R$ 10.000,00;4,48%;R$ 10.447,60;Sem Rating;181 dias;;103,0% CDI;LCI/LCA 82.4% CDI
CDB;BANCO ABC BRASIL;R$ 10.000,00;9,20%;R$ 10.920,24;AAA FITCH;360 dias;;103,0% CDI;LCI/LCA 82.4% CDI
